adim,fuel,fan,sicaklik,o2,efficiency
451,13.6,970.1,1364.19,6.094,0.4578
452,13.744,970.5,1364.82,6.091,0.4576
453,13.709,971.8,1365.43,6.095,0.4572
454,13.71,974.1,1366.02,6.1,0.4568
455,13.763,973.5,1366.58,6.097,0.4567
456,13.743,970.2,1367.16,6.093,0.4566
457,13.798,967.2,1367.66,6.08,0.4569
458,13.786,970.5,1368.03,6.076,0.4569
459,13.552,971.7,1368.56,6.101,0.4557
460,13.577,971.2,1369.24,6.117,0.4549
461,13.528,969.1,1370.07,6.132,0.454
462,13.577,973.0,1370.86,6.142,0.4533
463,13.687,973.9,1371.55,6.138,0.4532
464,13.683,975.3,1372.17,6.137,0.453
465,13.713,975.3,1372.73,6.133,0.4529
466,13.702,978.1,1373.2,6.134,0.4527
467,13.913,970.6,1373.55,6.101,0.4537
468,13.915,973.1,1373.63,6.079,0.4545
469,14.113,972.6,1373.35,6.039,0.4561
470,14.113,976.2,1372.77,6.013,0.4573
471,14.1,977.4,1372.01,5.997,0.4583
472,14.115,976.7,1371.17,5.982,0.4592
473,14.155,979.8,1370.16,5.969,0.4601
474,14.311,984.4,1368.9,5.947,0.4615
475,14.506,983.8,1367.35,5.906,0.4638
476,14.449,982.8,1365.68,5.882,0.4656
477,14.317,983.4,1364.04,5.879,0.4663
478,14.512,985.2,1362.22,5.857,0.4681
479,14.433,984.3,1360.46,5.848,0.4692
480,14.282,984.5,1358.87,5.86,0.4693
481,14.331,983.0,1357.41,5.861,0.4699
482,14.196,984.2,1356.15,5.879,0.4696
483,14.183,982.7,1355.1,5.892,0.4695
484,14.127,981.0,1354.27,5.907,0.4692
485,14.137,983.8,1353.52,5.92,0.4689
486,14.164,983.4,1352.89,5.926,0.4689
487,14.187,985.9,1352.29,5.931,0.469
488,14.049,992.4,1351.79,5.958,0.4681
489,14.022,991.8,1351.52,5.981,0.4672
490,14.091,993.2,1351.34,5.992,0.4669
491,14.099,992.9,1351.23,5.999,0.4666
492,14.071,992.0,1351.2,6.006,0.4664
493,14.092,991.4,1351.2,6.009,0.4663
494,14.064,990.5,1351.26,6.013,0.4661
495,14.127,987.3,1351.31,6.005,0.4664
496,14.243,985.9,1351.2,5.983,0.4673
497,14.294,986.2,1350.89,5.961,0.4683
498,14.363,986.1,1350.39,5.937,0.4695
499,14.385,985.8,1349.72,5.915,0.4707
500,14.542,983.4,1348.8,5.878,0.4726
501,14.44,982.8,1347.78,5.862,0.4738
502,14.561,981.1,1346.6,5.833,0.4755
503,14.47,980.0,1345.39,5.821,0.4766
504,14.522,983.4,1344.05,5.81,0.4776
505,14.371,985.4,1342.82,5.821,0.4776
506,14.581,987.2,1341.47,5.807,0.4788
507,14.67,992.1,1339.94,5.792,0.4801
508,14.55,995.3,1338.47,5.798,0.4805
509,14.567,995.2,1337.09,5.801,0.4809
510,14.526,996.2,1335.82,5.809,0.4811
511,14.584,999.3,1334.57,5.812,0.4814
512,14.638,1001.1,1333.32,5.81,0.4821
513,14.531,997.6,1332.26,5.817,0.4822
514,14.48,999.1,1331.34,5.83,0.482
515,14.39,997.8,1330.65,5.848,0.4814
516,14.34,997.9,1330.16,5.869,0.4807
517,14.582,1000.5,1329.52,5.858,0.4814
518,14.615,1002.1,1328.81,5.848,0.4822
519,14.397,1001.8,1328.31,5.866,0.4816
520,14.278,1003.8,1328.03,5.896,0.4804
521,14.058,1003.3,1328.2,5.944,0.4783
522,14.051,1006.2,1328.64,5.984,0.4764
523,14.035,1003.0,1329.4,6.012,0.475
524,13.769,1002.0,1330.61,6.063,0.4725
525,13.789,1003.8,1332.05,6.102,0.4704
526,13.867,1005.1,1333.59,6.122,0.469
527,13.75,1006.9,1335.29,6.154,0.4672
528,13.682,1005.4,1337.21,6.184,0.4654
529,13.713,1000.3,1339.31,6.197,0.4641
530,13.782,998.0,1341.37,6.196,0.4633
531,13.714,1000.3,1343.36,6.206,0.4622
532,13.739,1000.4,1345.29,6.21,0.4612
533,13.651,1004.4,1347.18,6.229,0.4599
534,13.575,999.2,1349.27,6.245,0.4585
535,13.484,996.7,1351.51,6.266,0.4569
536,13.455,1000.5,1353.75,6.289,0.4553
537,13.55,1000.9,1355.95,6.295,0.4542
538,13.723,996.7,1357.97,6.275,0.454
539,13.557,994.8,1359.97,6.277,0.4532
540,13.677,994.0,1361.77,6.264,0.4529
541,13.55,992.4,1363.56,6.267,0.4521
542,13.327,994.5,1365.51,6.298,0.4503
543,13.124,995.8,1367.78,6.346,0.45
544,13.084,998.5,1370.29,6.391,0.45
545,13.148,994.8,1372.97,6.412,0.45
546,13.0,994.8,1375.85,6.446,0.45
547,13.053,996.6,1378.73,6.467,0.45
548,13.001,995.5,1381.71,6.487,0.45
549,13.052,992.3,1384.7,6.493,0.45
550,13.038,993.7,1387.61,6.501,0.45
551,13.027,995.3,1390.42,6.509,0.45
552,13.0,998.0,1393.17,6.522,0.45
553,13.0,997.8,1395.88,6.532,0.45
554,13.016,999.9,1398.48,6.539,0.45
555,13.032,997.5,1401.03,6.541,0.45
556,13.043,995.0,1403.49,6.537,0.45
557,13.035,995.0,1405.84,6.536,0.45
558,13.167,994.7,1407.93,6.519,0.45
559,13.205,995.7,1409.75,6.502,0.45
560,13.062,994.1,1411.56,6.505,0.45
561,13.144,995.6,1413.2,6.499,0.45
562,13.102,993.7,1414.81,6.498,0.45
563,13.045,997.4,1416.34,6.508,0.45
564,13.16,997.2,1417.75,6.501,0.45
565,13.05,996.3,1419.19,6.508,0.45
566,13.209,995.5,1420.45,6.494,0.45
567,13.238,995.4,1421.54,6.48,0.45
568,13.29,994.0,1422.44,6.461,0.45
569,13.383,998.7,1423.0,6.442,0.45
570,13.194,998.5,1423.62,6.449,0.45
571,13.139,995.4,1424.38,6.458,0.45
572,13.106,993.9,1425.21,6.466,0.45
